imdb_id,studio,country
tt8637504,Bow + Arrow Entertainment,US
tt8637504,Field of Vision,US
tt8637504,Fork Films,US
tt8637504,JustFilms / Ford Foundation,US
tt8637504,California Humanites,
tt8637504,Independent Film Producers (IFP),
tt0120616,Universal Pictures,US
tt0120616,Alphaville Films,
tt0119528,Universal Pictures,US
tt0119528,Imagine Entertainment,US
tt0118880,Touchstone Pictures,US
tt0118880,Jerry Bruckheimer Films,US
tt0119116,Gaumont,FR
tt0119116,Buena Vista International,US
tt4566758,Walt Disney Pictures,US
tt4566758,China Film Group Corporation,CN
tt4566758,Good Fear,US
tt4566758,Jason T. Reed Productions,US
tt0083866,Universal Pictures,US
tt0083866,Amblin Entertainment,US
tt0080474,20th Century Fox,US
tt0084749,Sorcerer Productions,
tt0079100,Columbia Pictures,US
tt0079100,Universal Pictures,US
tt0079100,Wildwood Enterprises,US
tt0083642,Universal Pictures,US
tt0083642,RKO Radio Pictures,US
tt0120746,TriStar Pictures,US
tt0120746,Amblin Entertainment,US
tt0086393,Dovemead Films,
tt0086393,Cantharus Productions,
tt0086393,Warner Bros. Pictures,US
tt0185937,Haxan Films,
tt0185937,Artisan Entertainment,US
tt0090060,Columbia Pictures,US
tt1155076,Jerry Weintraub Productions,US
tt1155076,Columbia Pictures,US
tt1155076,China Film Group,
tt1155076,Overbrook Entertainment,US
tt1155076,Sony Pictures,US
tt0150377,Paramount,US
tt0086034,Eon Productions,GB
tt0080319,IPC Films,
tt0080319,20th Century Fox,US
tt0128853,Warner Bros. Pictures,US
tt0142342,Columbia Pictures,US
tt0088272,Malpaso Productions,US
tt0088272,Warner Bros. Pictures,US
tt0086361,Paramount,US
tt0077369,United Artists,US
tt0077369,EMI Films,GB
tt0087781,TriStar Pictures,US
tt1234719,Contrafilm,
tt1234719,FilmDistrict,US
tt1234719,FilmNation Entertainment,US
tt1234719,Metro-Goldwyn-Mayer,US
tt1234719,United Artists,US
tt1234719,20th Century Fox,US
tt1311067,Dimension Films,US
tt1311067,Spectacle Entertainment Group,
tt1311067,Trancas International Films,US
tt1823664,Marcy Media,
tt1823664,Columbia Pictures,US
tt1823664,Olive Bridge Entertainment,US
tt1823664,Sony Pictures,US
tt1823664,Overbrook Entertainment,US
tt0085549,Paramount,US
tt0085549,PolyGram Filmed Entertainment,US
tt0085549,Don Simpson/Jerry Bruckheimer Films,US
tt0083944,Orion Pictures,US
tt0083944,Carolco Pictures,US
tt0083944,Anabasis N.V.,
tt0083944,Elcajo Productions,
tt0081283,Paramount,US
tt0081283,Wildwood Enterprises,US
tt0082853,Columbia Pictures,US
tt0085995,Warner Bros. Pictures,US
tt0083866,Universal Pictures,US
tt0083866,Amblin Entertainment,US
tt0081696,Paramount,US
tt0084938,ABC Motion Pictures,
tt0084938,20th Century Fox,US
tt1430607,Columbia Pictures,US
tt1430607,Sony Pictures Animation,US
tt1430607,Aardman Animations,GB
tt0088000,Zacharias-Buhai Productions,
tt0088000,Interscope Communications,
tt0088000,20th Century Fox,US
tt0082846,Universal Pictures,US
tt0084434,Paramount,US
tt0084434,Lorimar Film Entertainment,US
tt0071115,Warner Bros. Pictures,US
tt0076009,Warner Bros. Pictures,US
tt1068242,Weston Pictures,
tt1068242,Dylan Sellers Productions,
tt1068242,Zadan / Meron Productions,
tt10833270,Resonate Entertainment,US
tt10833270,Walt Disney Pictures,US
tt0087062,Deliverance Productions,
tt0087062,Warner Bros. Pictures,US
tt0087062,Malpaso Productions,US
tt0071110,Universal Pictures,US
tt0088011,SLM Production Group,US
tt0088011,Nina Saxon Film Design,
tt0088011,El Corazon Producciones S.A.,
tt0088011,20th Century Fox,US
tt3402236,The Mark Gordon Company,US
tt3402236,Scott Free Productions,GB
tt3402236,Genre Films,US
tt0217869,Limited Edition Productions Inc.,
tt0217869,Barry Mendel Productions,US
tt0217869,Blinding Edge Pictures,US
tt0217869,Touchstone Pictures,US
tt0120382,Paramount,US
tt0120382,Scott Rudin Productions,US
tt0122151,Silver Pictures,US
tt0122151,Donner/Shuler-Donner Productions,
tt0122151,Warner Bros. Pictures,US
tt0088161,Touchstone Pictures,US
tt0088161,Walt Disney Productions,US
tt0319970,MGM Television,US
tt0319970,Trilogy Entertainment Group,US
tt0075029,Warner Bros. Pictures,US
tt0075029,Malpaso Productions,US
tt0110622,Paramount,US
tt4912910,Paramount,US
tt4912910,Bad Robot,US
tt4912910,Skydance Media,US
tt4912910,TC Productions,
tt4912910,Alibaba Pictures Group,CN
tt0119314,Wildwood Enterprises,US
tt0119314,Touchstone Pictures,US
tt0116313,Scott Rudin Productions,US
tt0112281,Morgan Creek Productions,US
tt0112281,Warner Bros. Pictures,US
tt1637688,New Regency Pictures,US
tt1637688,Strike Entertainment,
tt0119345,Summer Knowledge LLC,
tt0119345,Mandalay Entertainment,
tt0119345,Columbia Pictures,US
tt0112642,The Harvey Entertainment Company,US
tt0112642,Universal Pictures,US
tt0112642,Amblin Entertainment,US
tt2096672,New Line Cinema,US
tt2096672,Universal Pictures,US
tt2096672,Conundrum Entertainment,
tt2096672,Red Granite Pictures,
tt0110475,Dark Horse Entertainment,US
tt0110475,New Line Cinema,US
tt0116213,Kopelson Entertainment,
tt0116213,Warner Bros. Pictures,US
tt0118928,Pacific Western,US
tt0118928,Universal Pictures,US
tt0113189,Eon Productions,GB
tt0113189,United Artists,US
tt0111503,Lightstorm Entertainment,US
tt0111503,20th Century Fox,US
tt0116629,20th Century Fox,US
tt0116629,Centropolis Entertainment,
tt0112442,Columbia Pictures,US
tt0112442,Don Simpson/Jerry Bruckheimer Films,US
tt0112442,Sony Pictures,US
tt0107818,TriStar Pictures,US
tt0114148,Walt Disney Animation Studios,US
tt0114148,Walt Disney Pictures,US
tt0113676,MacGillivray Freeman Films,US
tt0109040,Morgan Creek Productions,US
tt0109040,Warner Bros. Pictures,US
tt0117333,Touchstone Pictures,US
tt0109444,Paramount,US
tt0109444,Mace Neufeld Productions,US
tt0119567,Universal Pictures,US
tt0119567,Amblin Entertainment,US
tt0119567,Digital Image Associates,
tt0081353,Walt Disney Productions,US
tt0081353,Paramount,US
tt0086129,Simon Reeves Landsburg Productions,
tt0086129,20th Century Fox,US
tt0087298,"Friday Four, Inc.",
tt0087298,Georgetown Productions Inc.,
tt0087298,Paramount,US
tt0083131,Columbia Pictures,US
tt0078869,Walt Disney Productions,US
tt0110357,Walt Disney Pictures,US
tt0110357,Walt Disney Animation Studios,US
tt0293429,Atomic Monster,US
tt0293429,Broken Road Productions,US
tt0293429,New Line Cinema,US
tt0117500,Don Simpson/Jerry Bruckheimer Films,US
tt0117500,Hollywood Pictures,US
tt0085970,Aaron Spelling Productions,US
tt0085970,Sherwood Productions,
tt0085970,20th Century Fox,US
tt0071571,Halicki Productions,
tt0087363,Amblin Entertainment,US
tt0087363,Warner Bros. Pictures,US
tt0816462,Dark Horse Entertainment,US
tt0816462,Nu Image,US
tt0816462,Paradox Entertainment,
tt0816462,Nimar Studios,BG
tt0816462,Cinema Vehicle Services,US
tt0816462,Millennium Films,US
tt0087469,Paramount,US
tt0087469,Lucasfilm Ltd.,US
tt0183505,Conundrum Entertainment,
tt0183505,20th Century Fox,US
tt0120828,Roger Birnbaum Productions,
tt0120828,Caravan Pictures,US
tt0120828,Touchstone Pictures,US
tt0120828,Northern Lights Entertainment,US
tt0084522,Melvin Simon Productions,
tt0084522,Astral Bellevue Path̩,
tt0084522,20th Century Fox,US
tt0086200,Geffen Pictures,US
tt0086200,Warner Bros. Pictures,US
tt0086873,Universal Pictures,US
tt0086873,Kings Road Entertainment,US
tt0086873,Old Times Productions,
tt0086491,Warner Bros. Pictures,US
tt0086837,Metro-Goldwyn-Mayer,US
tt0081573,Dovemead Films,
tt0081573,Film Export A.G.,
tt0081573,Warner Bros. Pictures,US
tt0081562,Columbia Pictures,US
tt0084597,Columbia Pictures Corporation,US
tt0084597,Rastar Productions,US
tt0088170,Paramount,US
tt0078718,Columbia Pictures,US
tt0082340,AVCO Embassy Pictures,US
tt0082340,Goldcrest,GB
tt0082340,International Film Investors,
tt0083511,Paramount,US
tt0077229,Schick Sunn Classics,
tt0077229,Sunn Classic Pictures,
tt0134084,Craven-Maddalena Films,
tt0134084,Dimension Films,US
tt0134084,Konrad Pictures,
tt0086465,Cinema Group Ventures,
tt0086465,Paramount,US
tt1663202,Monarchy Enterprises S.a.r.l.,
tt1663202,Regency Enterprises,US
tt1663202,Appian Way,US
tt1663202,CatchPlay,
tt1663202,Anonymous Content,US
tt1663202,New Regency Pictures,US
tt1663202,Hong Kong Alpha Motion Pictures Co.,
tt1663202,M Productions,
tt1663202,RatPac Entertainment,US
tt3606752,Pixar,US
tt0870154,Walt Disney Pictures,US
tt0870154,Seven Bucks Productions,US
tt0870154,Davis Entertainment,US
tt0870154,Flynn Picture Company,US
tt0870154,TSG Entertainment,US
tt0870154,Zaftig Films,US
tt3748528,Lucasfilm Ltd.,US
tt0116695,Gracie Films,US
tt0116695,TriStar Pictures,US
tt0116695,Vinyl Films,US
tt0116695,Sony Pictures,US
tt0079574,United Artists,US
tt0079574,Eon Productions,GB
tt0079574,Danjaq,US
tt0265086,Jerry Bruckheimer Films,US
tt0265086,Revolution Studios,US
tt0265086,Scott Free Productions,GB
tt0137494,Fountainbridge Films,
tt0137494,Regency Enterprises,US
tt0817230,Karz Entertainment,US
tt0817230,New Line Cinema,US
tt0817230,Rice Films,
tt0817230,ESPN,US
tt1130884,Phoenix Pictures,US
tt1130884,Paramount,US
tt1130884,Appian Way,US
tt1130884,Sikelia Productions,US
tt0074906,United Artists,US
tt0074906,Devon/Persky-Bright,
tt0141369,DiC Entertainment,US
tt0141369,Walt Disney Pictures,US
tt0141369,Caravan Pictures,US
tt3480822,Marvel Studios,US
tt6334354,DC Entertainment,US
tt6334354,DC Films,US
tt6334354,Atlas Entertainment,US
tt6334354,DC Comics,US
tt6334354,The Safran Company,US
tt0081480,Rastar Productions,US
tt9376612,Marvel Studios,US
tt7097896,Marvel Entertainment,US
tt7097896,Pascal Pictures,US
tt7097896,Columbia Pictures,US
tt7097896,Sony Pictures,US
tt7097896,Tencent Pictures,CN
tt7126948,DC Entertainment,US
tt7126948,Warner Bros. Pictures,US
tt7126948,The Stone Quarry,US
tt7126948,DC Films,US
tt7126948,Atlas Entertainment,US
tt7126948,DC Comics,US
tt1677720,Amblin Entertainment,US
tt1677720,De Line Pictures,US
tt1677720,Warner Bros. Pictures,US
tt1677720,Dune Entertainment,US
tt1677720,Farah Films & Management,
tt1677720,Reliance Entertainment,IN
tt1677720,Village Roadshow Pictures,US
tt1270797,Avi Arad Productions,US
tt1270797,Matt Tolmach Productions,US
tt1270797,Pascal Pictures,US
tt1270797,Marvel Entertainment,US
tt1270797,Tencent Pictures,CN
tt5463162,Marvel Entertainment,US
tt5463162,20th Century Fox,US
tt5463162,Maximum Effort,US
tt5463162,TSG Entertainment,US
tt5463162,Genre Films,US
tt4123430,Warner Bros. Pictures,US
tt4123430,Heyday Films,GB
tt7798646,Will Packer Productions,US
tt7798646,Universal Pictures,US
tt0073195,Zanuck/Brown Productions,US
tt0073195,Universal Pictures,US
tt6264654,Berlanti Productions,US
tt6264654,21 Laps Entertainment,US
tt6264654,Maximum Effort,US
tt6264654,Lit Entertainment Group,US
tt5433138,Original Film,US
tt5433138,One Race,US
tt5433138,Perfect Storm Entertainment,US
tt5433138,ZXY MOVIES,
tt9032400,Marvel Studios,US
tt0101414,Walt Disney Animation Studios,US
tt0101414,Walt Disney Pictures,US
tt0101414,Silver Screen Partners IV,US
tt4972582,Universal Pictures,US
tt4972582,Blinding Edge Pictures,US
tt4972582,Blumhouse Productions,US
tt0094332,Kennedy Miller Productions,AU
tt0094332,The Guber-Peters Company,
tt0094332,Warner Bros. Pictures,US
tt1361336,Warner Animation Group,US
tt1361336,Turner Entertainment,US
tt1361336,The Story Company,
tt5034838,Warner Bros. Pictures,US
tt5034838,Legendary Pictures,US
tt1477834,DC Comics,US
tt1477834,DC Entertainment,US
tt1477834,Warner Bros. Pictures,US
tt1477834,The Safran Company,US
tt1477834,Rodeo FX,
tt1477834,Panoramic Pictures,CA
tt1477834,DC Films,US
tt1477834,Cruel & Unusual Films,US
tt2382320,Eon Productions,GB
tt2382320,Metro-Goldwyn-Mayer,US
tt2382320,United Artists,US
tt2382320,Universal Pictures,US
tt0114709,Pixar,US
