imdb_id,imdb_rating,metacritic_score,title,year,boxOffice,numTickets,boxOfficeAdjusted,ticketPriceAdjusted
tt1979388,6.7,66.0,The Good Dinosaur,2015,114766932,13614108,20248223.71206775,1.4872971267796429
tt0089218,7.8,62.0,The Goonies,1985,61389680,17292867,23868460.342146188,1.3802488819318501
tt1411697,6.5,30.0,The Hangover Part II,2011,254464305,32088815,47306991.07640826,1.4742517315272707
tt2310332,7.4,59.0,The Hobbit: The Battle of the Five Armies,2014,220602017,27001470,38968736.44232468,1.4432079602453007
tt1170358,7.8,66.0,The Hobbit: The Desolation of Smaug,2013,228934309,28159201,41093934.482139654,1.459343057430488
tt1951264,7.5,76.0,The Hunger Games: Catching Fire,2013,407139699,50078683,73081977.92137857,1.4593430486456396
tt1951266,6.6,,The Hunger Games: Mockingjay - Part 2,2015,274185395,32524957,48374275.75864502,1.4872971471920784
tt0317705,8.0,80.0,The Incredibles,2004,251657004,40524477,55713306.176665924,1.374806297356186
tt0317740,7.0,68.0,The Italian Job,2003,106126012,17599670,24125031.143441692,1.3707661077418891
tt0110366,6.3,45.0,The Little Rascals,1994,51764950,12687487,14602242.595204514,1.150916851792992
tt0077869,6.2,94.0,The Lord of the Rings,1978,27000000,11538461,17307692.307692308,1.5000000700000033
tt0167261,8.699999999999998,87.0,The Lord of the Rings: The Two Towers,2002,262300833,45146442,60971834.728033476,1.3505346606944901
tt0079510,5.6,52.0,The Main Event,1979,37198813,14820244,21427887.67281106,1.445852556328429
tt0110475,6.9,56.0,The Mask,1994,118866164,29133863,33530652.75035261,1.150916812863183
tt0120746,6.8,63.0,The Mask of Zorro,1998,93828745,20006128,24070996.664956387,1.2031811785347164
tt0074906,6.5,65.0,The Missouri Breaks,1976,14000000,6572769,10286554.004408523,1.5650259433137728
tt0079588,7.599999999999999,,The Muppet Movie,1979,76657000,30540637,44157258.06451613,1.4458525558755086
tt0095705,7.599999999999999,76.0,The Naked Gun: From the Files of Police Squad!,1988,54989495,13379439,19444658.769448373,1.453323922583628
tt0076507,6.1,,The Other Side of Midnight,1977,24652021,11054717,17013126.984126985,1.538992539033517
