imdb_id,source,rating
tt1515091,IMDb,7.5
tt1515091,Metacritic,48.0
tt0075222,IMDb,6.7
tt0105417,IMDb,6.4
tt0105417,Metacritic,51.0
tt0069303,IMDb,7.599999999999999
tt0069303,Metacritic,80.0
tt0094012,IMDb,7.1
tt0094012,Metacritic,46.0
tt0114508,IMDb,5.8
tt0114508,Metacritic,19.0
tt0145487,IMDb,7.3
tt0145487,Metacritic,73.0
tt6320628,IMDb,7.4
tt0227538,IMDb,5.5
tt0796366,IMDb,7.9
tt0796366,Metacritic,64.0
tt0098382,IMDb,5.5
tt0098382,Metacritic,43.0
tt0102975,IMDb,7.2
tt0117731,IMDb,7.599999999999999
tt0117731,Metacritic,62.0
tt0111280,IMDb,6.6
tt0111280,Metacritic,47.0
tt0079945,IMDb,6.4
tt0079945,Metacritic,38.0
tt0335438,IMDb,6.1
tt0335438,Metacritic,55.0
tt0079948,IMDb,6.4
tt0079948,Metacritic,64.0
tt0098384,IMDb,7.3
tt0098384,Metacritic,56.0
tt0083131,IMDb,6.9
tt0083131,Metacritic,68.0
tt0164912,IMDb,5.9
tt0164912,Metacritic,61.0
tt0086383,IMDb,6.6
tt0086383,Metacritic,52.0
tt1386697,IMDb,5.9
tt1386697,Metacritic,72.0
tt3263904,IMDb,7.4
tt3263904,Metacritic,74.0
tt0078346,IMDb,7.3
tt0078346,Metacritic,44.0
tt0086393,IMDb,5.0
tt0086393,Metacritic,44.0
tt1291150,IMDb,5.8
tt1291150,Metacritic,40.0
tt0103060,IMDb,6.0
tt0103060,Metacritic,45.0
tt0181852,IMDb,6.3
tt0181852,Metacritic,66.0
tt0438488,IMDb,6.5
tt0438488,Metacritic,49.0
tt1872181,IMDb,6.5
tt0072653,IMDb,6.4
tt0072653,Metacritic,37.0
tt0074174,IMDb,7.3
tt0074174,Metacritic,65.0
tt0115685,IMDb,7.1
tt0115685,Metacritic,72.0
tt0878804,IMDb,7.599999999999999
tt0878804,Metacritic,53.0
tt0103855,IMDb,6.3
tt0103855,Metacritic,47.0
tt0258463,IMDb,7.9
tt0258463,Metacritic,68.0
tt0499448,IMDb,6.5
tt0499448,Metacritic,62.0
tt0109446,IMDb,6.8
tt0109446,Metacritic,65.0
tt0481499,IMDb,7.2
tt0481499,Metacritic,55.0
tt0382625,IMDb,6.6
tt0382625,Metacritic,46.0
tt1345836,IMDb,8.4
tt1345836,Metacritic,78.0
tt0069946,IMDb,6.0
tt0072926,IMDb,6.4
tt0072926,Metacritic,61.0
tt0080678,IMDb,8.099999999999998
tt0080678,Metacritic,78.0
tt0077504,IMDb,6.2
tt0077504,Metacritic,42.0
tt0232500,IMDb,6.8
tt0232500,Metacritic,58.0
tt0091064,IMDb,7.599999999999999
tt0091064,Metacritic,65.0
