imdb_id,genre
tt1133985,Sci-Fi
tt1502407,Crime
tt1502407,Horror
tt1502407,Thriller
tt0448157,Action
tt0448157,Drama
tt0448157,Fantasy
tt0099785,Comedy
tt0099785,Family
tt2510894,Adventure
tt2510894,Animation
tt2510894,Comedy
tt0170016,Comedy
tt0170016,Family
tt0170016,Fantasy
tt1646971,Action
tt1646971,Adventure
tt1646971,Animation
tt0268380,Adventure
tt0268380,Animation
tt0268380,Comedy
tt1080016,Adventure
tt1080016,Animation
tt1080016,Comedy
tt0438097,Adventure
tt0438097,Animation
tt0438097,Comedy
tt0119360,Comedy
tt0119360,Romance
tt3606756,Action
tt3606756,Adventure
tt3606756,Animation
tt0367882,Action
tt0367882,Adventure
tt0087469,Action
tt0087469,Adventure
tt0141369,Action
tt0141369,Adventure
tt0141369,Comedy
tt1300854,Action
tt1300854,Adventure
tt1300854,Sci-Fi
tt0085750,Adventure
tt0085750,Horror
tt0085750,Thriller
tt0070239,Drama
tt0070239,History
tt0070239,Musical
tt0870154,Action
tt0870154,Adventure
tt0870154,Comedy
tt0163025,Action
tt0163025,Adventure
tt0163025,Sci-Fi
tt0478311,Comedy
tt0478311,Romance
tt0070849,Drama
tt0070849,Romance
tt0093409,Action
tt0093409,Crime
tt0093409,Thriller
tt0097733,Action
tt0097733,Crime
tt0097733,Thriller
tt0119528,Comedy
tt0119528,Fantasy
tt7545266,Comedy
tt0081060,Comedy
tt0081060,Drama
tt0337978,Action
tt0337978,Thriller
tt0079489,Comedy
tt0073317,Comedy
tt0073317,Crime
tt0073317,Drama
tt0097815,Comedy
tt0097815,Sport
tt0770828,Action
tt0770828,Adventure
tt0770828,Sci-Fi
tt0079522,Comedy
tt0079522,Drama
tt0079522,Romance
tt5028340,Adventure
tt5028340,Comedy
tt5028340,Family
tt0212338,Comedy
tt0212338,Romance
tt2293640,Adventure
tt2293640,Animation
tt2293640,Comedy
tt0181689,Action
tt0181689,Crime
tt0181689,Mystery
tt2381249,Action
tt2381249,Adventure
tt2381249,Thriller
tt0079574,Action
tt0079574,Adventure
tt0079574,Sci-Fi
tt0085970,Comedy
tt0085970,Drama
tt0110622,Comedy
tt0110622,Crime
tt0086006,Action
tt0086006,Adventure
tt0086006,Thriller
tt0125439,Comedy
tt0125439,Drama
tt0125439,Romance
tt0095776,Adventure
tt0095776,Animation
tt0095776,Comedy
tt0327084,Adventure
tt0327084,Animation
tt0327084,Comedy
tt0070510,Comedy
tt0070510,Crime
tt0070510,Drama
tt0098067,Comedy
tt0098067,Drama
tt0105112,Action
tt0105112,Thriller
tt0213149,Action
tt0213149,Drama
tt0213149,History
tt0069080,Comedy
tt0069080,Drama
tt0069080,Romance
tt0325980,Action
tt0325980,Adventure
tt0325980,Fantasy
tt2848292,Comedy
tt2848292,Music
tt0087928,Comedy
tt0081353,Adventure
tt0081353,Comedy
tt0081353,Family
tt0093773,Action
tt0093773,Adventure
tt0093773,Sci-Fi
tt5848272,Adventure
tt5848272,Animation
tt5848272,Comedy
tt0095956,Action
tt0095956,Adventure
tt0117438,Action
tt0117438,Crime
tt0117438,Thriller
tt1677720,Action
tt1677720,Adventure
tt1677720,Sci-Fi
tt0210945,Biography
tt0210945,Drama
tt0210945,Sport
tt0088000,Comedy
tt0078163,Comedy
tt0078163,Crime
tt0078163,Mystery
tt1318514,Action
tt1318514,Drama
tt1318514,Sci-Fi
tt0100502,Action
tt0100502,Crime
tt0100502,Sci-Fi
tt0358082,Adventure
tt0358082,Animation
tt0358082,Comedy
tt0107985,Comedy
tt0107985,Family
tt0107985,Fantasy
tt0257076,Action
tt0257076,Adventure
tt0257076,Crime
tt1599348,Action
tt1599348,Thriller
tt0120815,Drama
tt0120815,War
tt0175142,Comedy
tt0114369,Crime
tt0114369,Drama
tt0114369,Mystery
tt9376612,Action
tt9376612,Adventure
tt9376612,Fantasy
tt0091949,Comedy
tt0091949,Family
tt0091949,Sci-Fi
tt0413267,Adventure
tt0413267,Animation
tt0413267,Comedy
tt0075223,Action
tt0075223,Comedy
tt0075223,Crime
tt0090022,Action
tt0090022,Crime
tt0090022,Drama
tt1074638,Action
