title,metacritic_score
3 Men and a Little Lady,51
Problem Child,27
Arachnophobia,67
Kindergarten Cop,61
Hard To Kill,57
RoboCop 2,42
Misery,75
Edward Scissorhands,74
Batman,44
Indiana Jones and the Last Crusade,65
Lethal Weapon 2,70
Honey, I Shrunk the Kids,63
Rain Man,65
Look Who's Talking,51
Ghostbusters II,56
Back to the Future Part II,57
Parenthood,82
Dead Poets Society,79
When Harry Met Sally...,76
Turner & Hooch,36
Uncle Buck,51
Field of Dreams,57
Sea of Love,66
National Lampoon's Christmas Vacation,49
Pet Sematary,38
Harlem Nights,16
Beaches,86
The Abyss,62
To the Limit,59
Star Trek V: The Final Frontier,43
The Little Mermaid,88
Steel Magnolias,56
Major League,62
Who Framed Roger Rabbit?,
Coming to America,47
Good Morning Vietnam,67
Big,90
Crocodile Dundee 2,
3 Men and a Baby,61
Cocktail,12
Moonstruck,83
Die Hard,72
Beetlejuice,70
Twins,74
A Fish Called Wanda,80
Willow,47
The Naked Gun: From the Files of Police Squad!,76
Scrooged,38
Rambo III,36
Bull Durham,73
A Nightmare on Elm Street 4: The Dream Master,56
Rain Man,65
Colors,
Young Guns,50
Biloxi Blues,61
The Land Before Time,66
The Great Outdoors,24
Oliver & Company,58
Beverly Hills Cop II,16
Fatal Attraction,67
Platoon,92
3 Men and a Baby,61
The Untouchables,79
The Secret of My Success,
Stakeout,69
Lethal Weapon,68
The Witches of Eastwick,67
Predator,45
Dragnet,62
Dirty Dancing,65
La Bamba,65
RoboCop,67
Outrageous Fortune,55
The Living Daylights,59
Snow White and the Seven Dwarfs,95
Crocodile Dundee,62
Full Metal Jacket,76
A Nightmare On Elm Street 3: Dream Warriors,49
Blind Date,51
Roxanne,74
Planes, Trains & Automobiles,72
Spaceballs,46
Mannequin,21
Top Gun,50
Crocodile Dundee,62
The Karate Kid, Part II,36
Back to School,68
Aliens,84
Star Trek IV: The Voyage Home,71
The Color Purple,78
Ruthless People,78
Ferris Bueller's Day Off,61
Down and Out in Beverly Hills,82
The Golden Child,37
Out of Africa,69
Legal Eagles,57
Cobra,48
Stand by Me,75
The Color of Money,77
Police Academy 3: Back in Training,33
An American Tail,38
Poltergeist II: The Other Side,49
Short Circuit,50
Pretty in Pink,56
Peggy Sue Got Married,74
About Last Night...,62
Running Scared,41
The Fly,65
Back to the Future,87
Rambo: First Blood Part II,47
Beverly Hills Cop,16
Rocky IV,40
Cocoon,65
The Dream is Alive,
Witness,79
The Goonies,62
Police Academy 2: Their First Assignment,39
Fantasia,59
A View to a Kill,40
National Lampoon's European Vacation,47
Fletch,68
The Breakfast Club,66
Spies Like Us,22
The Jewel of the Nile,53
Mask,56
Pale Rider,61
Pee Wee's Big Adventure,47
Brewster's Millions,37
Jagged Edge,60
St. Elmo's Fire,35
Mad Max Beyond Thunderdome,71
Commando,51
Silverado,64
Ghostbusters,71
Indiana Jones and the Temple of Doom,57
Gremlins,70
Beverly Hills Cop,16
The Karate Kid,60
Police Academy,16
Footloose,42
Star Trek III: The Search for Spock,56
Romancing the Stone,63
